step,reward,win_rate,mean_steps
296,-1.0,0.0,40.03125
10350,-1.0,0.0,33.53125
20577,-1.0,0.0,28.09375
30612,-1.0,0.0,27.4375
40629,-1.0,0.0,28.40625
50779,-1.0,0.0,28.4375
60857,-1.0,0.0,27.875
296,-1.0,0.0,40.03125
10350,-1.0,0.0,33.53125
20577,-1.0,0.0,28.09375
30612,-1.0,0.0,27.34375
40647,-1.0,0.0,28.125
50801,-1.0,0.0,28.1875
60842,-1.0,0.0,26.875
71028,-1.0,0.0,26.75
81067,-1.0,0.0,27.0
91103,-1.0,0.0,35.03125
101156,-1.0,0.0,33.625
111275,-0.9375,0.03125,36.46875
121384,-0.9375,0.03125,35.6875
131649,-1.0,0.0,36.0
141717,-0.9375,0.03125,36.59375
151912,-1.0,0.0,35.625
162094,-1.0,0.0,39.09375
172250,-0.90625,0.03125,42.21875
182365,-1.0,0.0,35.28125
192560,-1.0,0.0,38.875
202815,-0.96875,0.0,44.09375
213007,-1.0,0.0,40.125
223146,-1.0,0.0,41.4375
233387,-0.90625,0.03125,44.875
243742,-0.96875,0.0,48.65625
253747,-0.8125,0.0625,54.40625
263749,-0.96875,0.0,48.96875
273957,-0.90625,0.03125,48.40625
284295,-0.9375,0.0,54.375
294472,-0.9375,0.0,52.4375
304769,-0.8125,0.0625,54.78125
314826,-0.875,0.0625,47.0625
324895,-0.9375,0.0,54.96875
334899,-0.875,0.0625,46.1875
345069,-0.625,0.15625,57.65625
355269,-0.96875,0.0,49.25
365269,-0.875,0.0625,50.6875
375527,-0.9375,0.03125,46.0
385529,-0.71875,0.125,57.34375
395644,-0.875,0.0625,46.46875
405798,-1.0,0.0,51.59375
416247,-0.96875,0.0,49.4375
426514,-0.875,0.0625,47.0
436563,-1.0,0.0,48.5625
446704,-0.9375,0.03125,52.84375
456832,-0.8125,0.0625,54.53125
467156,-0.9375,0.03125,52.84375
477298,-0.875,0.0625,52.0625
487492,-0.8125,0.09375,51.5625
497763,-0.8125,0.09375,46.21875
507967,-1.0,0.0,47.25
518161,-0.8125,0.09375,49.96875
528438,-0.875,0.0625,51.21875
538740,-0.8125,0.09375,50.1875
548786,-0.875,0.0625,49.4375
558816,-0.9375,0.03125,49.53125
569148,-0.9375,0.03125,48.46875
579415,-0.9375,0.03125,47.84375
589734,-0.875,0.0625,52.15625
600074,-0.8125,0.09375,50.46875
610251,-0.8125,0.09375,52.03125
620435,-0.9375,0.03125,45.71875
630680,-0.875,0.0625,50.1875
