step,reward,win_rate,mean_steps
188,-1.0,0.0,25.0
188,-1.0,0.0,25.03125
10321,-1.0,0.0,25.125
20386,-0.96875,0.0,28.59375
10309,-1.0,0.0,23.84375
30472,-0.875,0.0,45.21875
20482,-1.0,0.0,23.03125
40592,-1.0,0.0,26.03125
50649,-1.0,0.0,24.59375
30521,-1.0,0.0,23.53125
60764,-1.0,0.0,24.84375
40637,-1.0,0.0,23.03125
70769,-1.0,0.0,24.5625
80805,-1.0,0.0,24.4375
50754,-1.0,0.0,23.28125
90992,-1.0,0.0,24.6875
60815,-1.0,0.0,23.28125
101039,-1.0,0.0,24.9375
111074,-1.0,0.0,24.4375
70876,-1.0,0.0,23.125
121217,-1.0,0.0,23.9375
80980,-1.0,0.0,21.96875
131398,-1.0,0.0,23.21875
141468,-1.0,0.0,22.4375
91029,-1.0,0.0,22.90625
151578,-1.0,0.0,22.65625
101168,-1.0,0.0,21.84375
161762,-1.0,0.0,22.875
171817,-1.0,0.0,23.6875
111351,-1.0,0.0,21.59375
181956,-1.0,0.0,24.03125
121398,-1.0,0.0,22.65625
192125,-1.0,0.0,23.625
202187,-1.0,0.0,23.0625
131569,-1.0,0.0,22.375
212214,-1.0,0.0,23.59375
141677,-0.96875,0.0,26.46875
222222,-1.0,0.0,23.96875
232388,-1.0,0.0,25.65625
151848,-1.0,0.0,22.4375
242488,-1.0,0.0,24.6875
161988,-1.0,0.0,21.8125
252593,-1.0,0.0,25.0625
262731,-1.0,0.0,24.46875
172042,-1.0,0.0,22.15625
272756,-1.0,0.0,24.03125
182158,-1.0,0.0,23.15625
282866,-1.0,0.0,23.125
292983,-1.0,0.0,23.5625
192221,-1.0,0.0,22.65625
303141,-1.0,0.0,23.28125
202384,-1.0,0.0,22.28125
313149,-1.0,0.0,22.8125
323257,-1.0,0.0,22.96875
212488,-1.0,0.0,22.1875
333396,-1.0,0.0,22.375
222614,-1.0,0.0,23.03125
343556,-1.0,0.0,23.03125
353710,-1.0,0.0,23.09375
232701,-1.0,0.0,24.6875
363787,-1.0,0.0,24.625
242873,-1.0,0.0,23.5
373936,-1.0,0.0,23.90625
384002,-1.0,0.0,23.15625
253046,-1.0,0.0,23.5625
394058,-1.0,0.0,23.4375
263078,-1.0,0.0,22.25
404197,-1.0,0.0,22.40625
273121,-1.0,0.0,22.71875
414250,-1.0,0.0,23.15625
424268,-1.0,0.0,23.25
283225,-1.0,0.0,23.125
434322,-1.0,0.0,24.40625
293290,-1.0,0.0,22.09375
444456,-1.0,0.0,24.0625
454463,-1.0,0.0,22.875
303395,-1.0,0.0,21.34375
464504,-1.0,0.0,23.25
313566,-1.0,0.0,22.1875
474619,-1.0,0.0,22.8125
323590,-1.0,0.0,22.1875
484775,-1.0,0.0,22.03125
333694,-1.0,0.0,22.0
494854,-1.0,0.0,22.78125
343850,-1.0,0.0,22.125
504915,-1.0,0.0,22.0625
514991,-1.0,0.0,22.46875
353956,-1.0,0.0,22.09375
524991,-1.0,0.0,22.65625
363974,-1.0,0.0,22.5
535101,-1.0,0.0,22.5625
545204,-1.0,0.0,22.3125
374013,-1.0,0.0,22.34375
555312,-1.0,0.0,22.46875
384028,-1.0,0.0,22.75
565494,-1.0,0.0,22.65625
394033,-1.0,0.0,24.0625
575538,-1.0,0.0,22.0625
585705,-1.0,0.0,22.5625
404138,-1.0,0.0,25.59375
595881,-1.0,0.0,23.28125
414197,-1.0,0.0,24.84375
605967,-1.0,0.0,22.8125
616056,-1.0,0.0,23.4375
424263,-1.0,0.0,25.8125
626076,-1.0,0.0,22.0
434333,-1.0,0.0,23.21875
636191,-1.0,0.0,22.09375
646288,-1.0,0.0,22.03125
444416,-1.0,0.0,27.875
656361,-1.0,0.0,21.9375
454565,-1.0,0.0,25.65625
666425,-1.0,0.0,22.3125
676446,-1.0,0.0,22.65625
464580,-1.0,0.0,23.90625
686510,-1.0,0.0,22.65625
474607,-1.0,0.0,23.84375
696651,-1.0,0.0,22.15625
706764,-1.0,0.0,22.90625
716839,-1.0,0.0,22.8125
484688,-1.0,0.0,24.78125
726876,-1.0,0.0,22.84375
736947,-1.0,0.0,22.75
494704,-1.0,0.0,24.125
747121,-1.0,0.0,22.71875
504771,-1.0,0.0,24.0
757269,-1.0,0.0,22.4375
767367,-1.0,0.0,23.3125
514773,-1.0,0.0,22.28125
777536,-1.0,0.0,23.40625
524775,-1.0,0.0,24.3125
787680,-1.0,0.0,22.5
534784,-1.0,0.0,24.25
797768,-1.0,0.0,22.625
807833,-1.0,0.0,22.59375
544946,-1.0,0.0,24.46875
818007,-1.0,0.0,22.59375
555004,-1.0,0.0,22.40625
828097,-1.0,0.0,22.875
838182,-1.0,0.0,22.625
565164,-1.0,0.0,25.3125
848183,-1.0,0.0,22.40625
575200,-1.0,0.0,24.46875
858223,-1.0,0.0,22.53125
868332,-1.0,0.0,22.71875
585375,-1.0,0.0,24.4375
878450,-1.0,0.0,23.21875
595471,-1.0,0.0,23.53125
888614,-1.0,0.0,22.8125
605605,-1.0,0.0,24.5625
898696,-1.0,0.0,22.78125
908712,-1.0,0.0,23.4375
615725,-1.0,0.0,24.75
918833,-1.0,0.0,22.59375
625745,-1.0,0.0,24.96875
928882,-1.0,0.0,22.65625
939041,-1.0,0.0,23.03125
635750,-1.0,0.0,24.78125
949211,-1.0,0.0,23.0625
645929,-1.0,0.0,25.15625
959230,-1.0,0.0,23.21875
656016,-1.0,0.0,27.3125
969350,-1.0,0.0,23.0625
666126,-1.0,0.0,26.28125
979414,-1.0,0.0,23.40625
676311,-1.0,0.0,26.15625
989463,-1.0,0.0,23.8125
999618,-1.0,0.0,24.65625
686368,-1.0,0.0,27.5
1009701,-1.0,0.0,24.5
1019872,-1.0,0.0,24.28125
696471,-0.96875,0.0,29.71875
1029879,-1.0,0.0,24.28125
706547,-1.0,0.0,25.375
1040032,-1.0,0.0,24.71875
1050102,-1.0,0.0,23.3125
716627,-1.0,0.0,25.1875
1060124,-1.0,0.0,23.78125
